0.566,1.302,1.08,0.323,1.228,1.868,3.306,1.02,2.421,0.948,2.098
0.575,1.311,1.086,0.325,1.243,1.879,3.344,1.031,2.447,0.956,2.123
0.58,1.309,1.086,0.328,1.261,1.885,3.349,1.043,2.458,0.959,2.129
0.581,1.325,1.095,0.326,1.264,1.886,3.335,1.048,2.457,0.96,2.126
0.58,1.333,1.1,0.326,1.264,1.88,3.316,1.048,2.453,0.957,2.119
0.58,1.329,1.101,0.322,1.262,1.867,3.283,1.045,2.441,0.952,2.105
0.584,1.333,1.106,0.325,1.270,1.874,3.307,1.052,2.455,0.956,2.116
0.576,1.337,1.104,0.322,1.260,1.863,3.267,1.053,2.433,0.952,2.098
0.568,1.348,1.109,0.32,1.240,1.846,3.262,1.028,2.417,0.943,2.081
0.57,1.35,1.109,0.32,1.241,1.847,3.257,1.03,2.416,0.943,2.082
0.566,1.344,1.108,0.318,1.230,1.839,3.234,1.026,2.405,0.937,2.076
0.566,1.336,1.107,0.324,1.245,1.856,3.269,1.031,2.427,0.949,2.095
0.577,1.345,1.111,0.325,1.266,1.863,3.273,1.048,2.441,0.955,2.104
0.5844,1.356,1.116,0.328,1.286,1.887,3.325,1.067,2.477,0.968,2.135
0.589,1.36,1.112,0.333,1.296,1.901,3.35,1.072,2.497,0.975,2.153
0.594,1.341,1.109,0.334,1.305,1.915,3.383,1.103,2.52,0.984,2.177
0.5956,1.339,1.108,0.34,1.311,1.94,3.408,1.086,2.54,0.993,2.2
0.5952,1.348,1.107,0.338,1.321,1.932,3.376,1.097,2.534,0.99,2.192
0.5938,1.34,1.102,0.337,1.323,1.923,3.339,1.097,2.522,0.986,2.176
0.591,1.342,1.102,0.335,1.321,1.925,3.344,1.093,2.512,0.98,2.169
0.5954,1.341,1.107,0.338,1.337,1.932,3.346,1.11,2.531,0.989,2.183
0.5942,1.337,1.102,0.337,1.349,1.934,3.332,1.125,2.523,0.984,2.18
0.5786,1.322,1.096,0.334,1.305,1.91,3.3,1.091,2.48,0.968,2.145
0.581,1.334,1.106,0.335,1.316,1.91,3.304,1.097,2.488,0.971,2.153
0.5824,1.338,1.107,0.333,1.325,1.915,3.322,1.106,2.496,0.974,2.156
0.5878,1.354,1.118,0.337,1.337,1.938,3.339,1.12,2.516,0.985,2.174
0.5756,1.346,1.113,0.33,1.318,1.903,3.262,1.103,2.468,0.963,2.129
0.5808,1.335,1.105,0.332,1.336,1.914,3.279,1.118,2.492,0.97,2.148
0.5916,1.326,1.099,0.338,1.354,1.94,3.354,1.132,2.539,0.991,2.19
0.591,1.339,1.105,0.337,1.352,1.944,3.334,1.133,2.528,0.986,2.181
0.5912,1.313,1.088,0.337,1.357,1.941,3.328,1.14,2.528,0.989,2.181
0.5934,1.327,1.098,0.337,1.372,1.956,3.339,1.15,2.541,0.99,2.189
0.5938,1.325,1.098,0.339,1.381,1.962,3.333,1.156,2.542,0.996,2.191
0.6018,1.294,1.076,0.341,1.405,1.969,3.362,1.173,2.569,1.002,2.211
0.6032,1.314,1.096,0.343,1.406,1.97,3.359,1.176,2.57,1.003,2.213
0.6022,1.296,1.074,0.34,1.399,1.957,3.338,1.17,2.558,0.996,2.196
0.6,1.278,1.06,0.337,1.400,1.943,3.305,1.172,2.549,0.993,2.185
0.5976,1.268,1.051,0.335,1.394,1.945,3.296,1.167,2.538,0.989,2.177
0.6016,1.268,1.049,0.337,1.400,1.951,3.336,1.175,2.552,0.996,2.192
0.5948,1.265,1.039,0.336,1.379,1.947,3.333,1.161,2.542,0.992,2.18
0.5948,1.256,1.04,0.335,1.365,1.943,3.329,1.144,2.532,0.988,2.18
0.5996,1.265,1.05,0.336,1.384,1.952,3.342,1.16,2.544,0.99,2.186
0.5934,1.276,1.057,0.333,1.371,1.937,3.322,1.148,2.528,0.985,2.171
0.589,1.307,1.078,0.331,1.354,1.928,3.321,1.133,2.515,0.981,2.161
0.582,1.299,1.072,0.326,1.337,1.904,3.309,1.114,2.489,0.972,2.144
0.5788,1.31,1.078,0.326,1.341,1.903,3.3,1.117,2.485,0.968,2.142
0.5752,1.324,1.088,0.323,1.351,1.889,3.23,1.126,2.464,0.962,2.117
0.5876,1.319,1.088,0.331,1.383,1.92,3.285,1.159,2.509,0.981,2.159
0.5944,1.334,1.093,0.337,1.404,1.95,3.343,1.179,2.544,0.991,2.189
0.5942,1.334,1.092,0.344,1.401,1.978,3.371,1.183,2.557,0.998,2.203
0.6022,1.347,1.107,0.348,1.402,2.023,3.479,1.19,2.606,1.017,2.246
0.6026,1.357,1.116,0.35,1.413,2.024,3.458,1.2,2.602,1.015,2.24
