Date,Open,High,Low,Close,Volume,Adj Close
2004-10-06,128.830021,130.399979,128.830021,130.399979,229200,18.310356
2004-10-05,127.50,128.530025,127.50,128.20998,137400,18.002843
2004-10-04,126.559982,127.150017,126.490025,126.839996,136200,17.810474
2004-10-01,125.899979,127.309982,125.899979,127.309982,150000,17.876468
2004-09-30,125.02002,125.860016,125.02002,125.779976,158400,17.661629
2004-09-29,125.399998,125.530025,124.099983,124.799995,102600,17.524024
2004-09-28,124.950005,125.890022,124.859997,125.650017,121200,17.643381
2004-09-27,123.649979,124.150017,123.139984,123.550014,88800,17.348505
2004-09-24,122.950024,124.069977,122.899979,123.829983,61200,17.328143
2004-09-23,122.850002,122.950024,122.100002,122.569977,67800,17.151824
2004-09-22,123.499981,123.79002,123.029995,123.450005,65400,17.274971
2004-09-21,122.100002,124.360016,122.100002,124.23,226800,17.38412
2004-09-20,121.350002,122.149979,121.339977,121.339977,126000,16.979705
2004-09-17,120.550014,121.210018,120.120003,121.099983,60000,16.946121
2004-09-16,119.440018,119.920017,119.399998,119.740025,99600,16.755815
2004-09-15,119.549995,120.00,119.220005,119.25,27000,16.687244
2004-09-14,119.299976,119.95998,119.160004,119.539982,114600,16.727822
2004-09-13,119.399998,119.490005,119.170017,119.299976,54000,16.694237
2004-09-10,119.200024,119.200024,118.249981,118.620003,51600,16.599085
2004-09-09,118.200005,119.710018,118.200005,119.449986,79800,16.715229
2004-09-08,117.670017,118.489975,117.670017,118.169998,30000,16.536114
2004-09-07,118.23,118.23,117.400017,117.919979,35400,16.501127
2004-09-03,117.870003,118.480019,117.619984,118.480019,74400,16.579496
2004-09-02,117.990005,118.620003,117.760025,118.620003,43200,16.599085
2004-09-01,116.100002,117.619984,116.100002,117.419998,36000,16.431162
2004-08-31,114.769981,115.759975,114.619984,115.759975,112200,16.198867
2004-08-30,115.399979,115.399979,114.100021,114.199986,49200,15.98057
2004-08-27,114.600002,115.000019,114.600002,114.940018,40200,16.084126
2004-08-26,113.320015,114.120003,112.77,114.029995,75600,15.956782
2004-08-25,112.81002,113.350021,112.81002,113.350021,53400,15.86163
2004-08-24,113.230019,113.419979,112.129978,112.740005,81600,15.776268
2004-08-23,114.930004,115.000019,113.220005,113.220005,69000,15.843437
2004-08-20,114.679985,115.720024,114.679985,114.970024,109800,16.088325
2004-08-19,113.549995,114.340015,113.47998,114.010025,272400,15.953988
2004-08-18,112.699986,113.200024,112.350002,113.200024,59400,15.84064
2004-08-17,113.399998,113.399998,111.880016,112.069977,67800,15.682507
2004-08-16,112.549976,113.640003,112.549976,113.56002,39600,15.891017
2004-08-13,112.000019,112.630016,111.70998,112.300014,43800,15.714698
2004-08-12,112.720024,112.720024,111.109978,111.169979,77400,15.556566
2004-08-11,112.950005,112.950005,111.730019,112.27002,33000,15.7105
2004-08-10,113.20998,114.079983,113.069996,113.089977,114000,15.825241
2004-08-09,112.219975,113.749981,112.219975,113.20998,207000,15.842034
2004-08-06,113.700005,113.700005,111.569996,111.700024,68400,15.630738
2004-08-05,115.600021,115.600021,113.700005,113.700005,47400,15.910605
2004-08-04,117.649979,117.649979,115.699986,115.72998,66600,16.19467
2004-08-03,117.569996,118.129978,117.569996,117.700024,77400,16.470348
2004-08-02,117.100021,117.100021,115.789982,117.00,57000,16.37239
2004-07-30,117.100021,117.280025,116.719975,117.209999,58800,16.401776
2004-07-29,116.100002,116.710018,115.549976,116.620022,51000,16.319218
2004-07-28,115.150017,115.780025,114.280025,115.699986,36000,16.190472
2004-07-27,112.699986,114.739975,112.620003,114.739975,60000,16.056133
2004-07-26,114.600002,114.880016,112.699986,113.25,128400,15.847634
2004-07-23,115.150017,115.150017,114.27,114.509995,44400,16.023951
2004-07-22,115.639984,115.699986,114.889984,115.450024,46800,16.155494
2004-07-21,117.419998,117.880016,115.319996,115.319996,40200,16.137299
2004-07-20,117.529976,117.589977,117.00,117.43998,57600,16.433958
2004-07-19,118.049995,118.420017,117.490025,117.97998,73800,16.509523
2004-07-16,118.049995,118.609978,117.720005,118.390022,216000,16.566903
2004-07-15,116.650017,117.409985,116.500019,117.149998,102000,16.39338
2004-07-14,115.249981,116.590015,115.249981,116.590015,162000,16.315019
2004-07-13,115.639984,115.639984,114.760025,115.510025,42000,16.16389
2004-07-12,116.449986,116.449986,115.600021,115.969975,102600,16.228253
2004-07-09,116.440018,116.599983,115.690018,116.599983,88800,16.316414
2004-07-08,115.960018,116.25,115.609978,115.849983,90000,16.211462
2004-07-07,115.489975,116.149979,115.02,116.059982,149400,16.240849
2004-07-06,115.360016,115.750019,114.990005,115.45998,52800,16.156887
2004-07-02,114.799976,115.210018,114.600002,114.97998,66600,16.089719
2004-07-01,114.799976,114.990005,114.120003,114.600002,176400,16.036546
2004-06-30,114.120003,114.990005,113.809982,114.990005,76200,16.091121
2004-06-29,113.500019,113.790001,113.500019,113.749981,104400,15.917599
2004-06-28,114.799976,114.799976,113.179985,113.470024,80400,15.878423
2004-06-25,115.799995,116.160004,115.169998,115.350002,37200,16.078106
2004-06-24,116.599983,116.599983,115.579983,115.81002,115200,16.142226
2004-06-23,114.899998,115.93998,114.319977,115.900017,85800,16.15477
2004-06-22,113.599983,114.299995,113.220005,114.299995,37800,15.931751
2004-06-21,114.250019,114.250019,113.68998,114.070015,69600,15.899695
2004-06-18,114.299995,114.409985,114.049976,114.22998,40200,15.921992
2004-06-17,113.25,113.759995,112.589996,113.590015,82200,15.83279
2004-06-16,111.990005,112.560001,111.610016,112.319996,189600,15.655768
2004-06-15,109.999981,111.029995,109.999981,110.73,40200,15.434146
2004-06-14,109.399979,109.399979,108.70998,108.810001,42000,15.166526
2004-06-10,109.50,110.299976,109.50,109.98,39000,15.329606
2004-06-09,109.450024,109.45998,108.610016,108.930004,164400,15.183252
2004-06-08,111.089996,111.319977,110.009995,110.29002,43800,15.372819
2004-06-07,109.600021,110.839977,109.519981,110.839977,49200,15.449475
2004-06-04,109.000019,109.099983,108.540001,108.829983,27000,15.169311
2004-06-03,110.449986,110.56002,109.000019,109.000019,102600,15.193011
2004-06-02,110.549995,110.749981,109.799995,110.200024,72000,15.360275
2004-06-01,110.399998,110.470024,109.840015,110.269981,28200,15.370026
2004-05-28,109.099983,109.259995,109.06002,109.06002,18600,15.201375
2004-05-27,110.260025,110.260025,108.700024,109.099983,109200,15.206945
2004-05-26,110.850002,110.869984,109.439999,109.859997,64800,15.31288
2004-05-25,109.350002,110.599983,109.350002,110.599983,122400,15.416023
2004-05-24,106.600021,108.569996,106.600021,108.569996,56400,15.133073
2004-05-21,107.200024,107.299976,106.099983,106.140003,45600,14.794367
2004-05-20,107.189999,107.189999,106.399979,106.630016,16800,14.862668
2004-05-19,107.500019,108.27,106.510025,106.669979,66600,14.868238
2004-05-18,107.599983,107.629978,106.129978,106.480019,108000,14.84176
2004-05-17,107.800014,108.139984,107.350021,107.500019,56400,14.983933
2004-05-14,107.599983,108.589977,107.100002,107.989975,139800,15.052226
2004-05-13,107.399998,107.419979,106.600021,106.799995,36600,14.88636
2004-05-12,106.950005,107.149979,105.610016,107.149979,64800,14.935143
2004-05-11,105.739975,106.309982,105.600002,106.309982,28800,14.81806
2004-05-10,105.499981,105.75,103.930023,104.920017,242400,14.624319
2004-05-07,109.999981,109.999981,107.260025,107.299976,311400,14.95605
2004-05-06,111.250019,111.250019,109.399979,110.569977,123600,15.411841
2004-05-05,110.500019,111.490025,109.999981,111.490025,55200,15.540082
2004-05-04,111.00,111.670017,110.25,111.089996,102600,15.484324
2004-05-03,108.180004,110.25,108.180004,110.25,227400,15.367241
2004-04-30,108.850021,109.049995,107.989975,108.379978,229800,15.106587
2004-04-29,110.399998,110.500019,107.509975,108.149998,91800,15.074531
2004-04-28,111.799976,111.799976,109.879978,109.879978,189000,15.315665
2004-04-27,111.400017,113.230019,111.400017,112.709999,115800,15.710129
2004-04-26,112.06002,112.319996,111.319977,111.319977,116400,15.51638
2004-04-23,111.550014,111.550014,110.539982,111.029995,131400,15.475961
2004-04-22,109.249981,111.949986,109.249981,111.919979,74400,15.600011
2004-04-21,109.510025,109.740005,109.000019,109.589996,63600,15.275246
2004-04-20,112.600021,112.620003,109.759975,109.759975,112200,15.298938
2004-04-19,113.440018,113.599983,112.510025,112.990025,84000,15.74916
2004-04-16,112.399979,113.29002,112.350002,113.189999,179400,15.777033
2004-04-15,111.010025,112.210018,111.010025,112.210018,180600,15.640439
2004-04-14,109.890003,111.079983,109.849983,110.430004,155400,15.392331
2004-04-13,112.999981,112.999981,110.929985,111.130016,109800,15.489902
2004-04-12,111.75,112.799995,111.75,112.690018,79200,15.707343
2004-04-08,111.48,111.559982,110.710018,111.169979,235800,15.495472
2004-04-07,110.839977,111.280025,110.25,111.04002,95400,15.477358
2004-04-06,111.289982,111.400017,110.620022,111.100021,114600,15.485721
2004-04-05,110.809982,110.989975,110.339996,110.989975,204000,15.470382
2004-04-02,110.080021,110.680023,109.799995,110.680023,205800,15.42718
2004-04-01,110.800014,110.910004,109.429985,109.780025,168000,15.301733
2004-03-31,110.599983,110.669998,109.399979,110.490005,415800,15.400694
2004-03-30,108.359997,110.279995,108.359997,109.999981,87000,15.332392
2004-03-29,107.77002,108.299995,107.77002,107.950024,75000,15.046657
2004-03-26,106.799995,107.850002,106.630016,107.179985,168000,14.9088
2004-03-25,106.000019,106.249981,105.660004,106.249981,195000,14.779436
2004-03-24,107.500019,107.609997,105.48,105.589977,150600,14.687629
2004-03-23,108.689999,108.689999,106.969975,107.860016,85800,15.003393
2004-03-22,109.240025,109.240025,108.049976,108.259975,377400,15.059028
2004-03-19,111.00,111.120003,109.630016,109.630016,197400,15.249601
2004-03-18,110.650017,111.149998,110.179985,110.869984,126000,15.422081
